ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000028180	1468	1530	1060	1628	2646	1098	Zranb2
ENSMUSG00000097767	330	538	230	273	355	141	Miat
ENSMUSG00000028182	5	3	3	8	8	5	Lrriq3
ENSMUSG00000028185	0	0	1	4	1	2	Dnase2b
ENSMUSG00000053216	2	5	2	8	5	1	Btn2a2
ENSMUSG00000002015	2788	3273	2939	2850	4139	3365	Bcap31
ENSMUSG00000028186	35	18	23	157	27	6	Uox
ENSMUSG00000028189	157	133	110	104	145	96	Ctbs
ENSMUSG00000040147	337	316	233	182	344	239	Maob
ENSMUSG00000053219	2	11	6	9	7	7	Raet1e
ENSMUSG00000083011	2	2	4	33	47	24	Gm12816
ENSMUSG00000040146	55	47	25	19	33	18	Rgl3
ENSMUSG00000046020	1284	1083	1058	712	1202	991	Pofut1
ENSMUSG00000043501	6	12	5	10	4	4	Lgals2
ENSMUSG00000046027	4076	3334	3425	2538	3364	2651	Stard5
ENSMUSG00000046756	1125	959	926	806	1195	1091	Mrps7
ENSMUSG00000043505	28	34	21	20	19	28	Gimap5
ENSMUSG00000065692	1	1	2	3	0	2	Gm25410
ENSMUSG00000002017	809	974	638	1051	1539	893	Fam98a
ENSMUSG00000031377	19	27	14	26	37	15	Bmx
ENSMUSG00000021120	135	172	126	169	295	149	Pigh
ENSMUSG00000065694	1	1	0	0	0	0	Gm25411
ENSMUSG00000083019	3	7	5	1	0	4	Gm6222
ENSMUSG00000001802	226	192	203	64	138	117	Lrp3
ENSMUSG00000035429	0	2	0	1	2	1	Ptprh
ENSMUSG00000039163	301	231	247	206	299	219	Cmc1
ENSMUSG00000035139	570	661	468	564	835	509	Secisbp2
ENSMUSG00000021143	2115	1795	1581	922	1710	1546	Pacs2
ENSMUSG00000068349	3	4	2	3	13	4	Gml
ENSMUSG00000002014	2030	1511	1756	1583	2120	1814	Ssr4
ENSMUSG00000034412	2257	1466	1783	1455	2373	1989	Tbc1d10a
ENSMUSG00000081343	39	60	25	42	73	26	Gm16071
ENSMUSG00000035131	0	1	1	1	0	1	Brinp3
ENSMUSG00000070074	0	0	0	0	0	1	Mir484
ENSMUSG00000027670	6	6	9	0	7	6	Ocstamp
ENSMUSG00000070077	0	0	0	0	0	2	Mir491
ENSMUSG00000042453	469	544	499	323	438	557	Reln
ENSMUSG00000020752	741	726	584	607	936	561	Recql5
ENSMUSG00000075553	4	1	1	3	6	3	Gm5464
ENSMUSG00000011008	18	29	18	44	49	25	Mcoln2
ENSMUSG00000020758	6309	4010	4214	2714	5546	4267	Itgb4
ENSMUSG00000042459	0	0	0	0	0	2	Bpifa2
ENSMUSG00000056493	3547	2288	2547	2166	3574	2945	Foxk1
ENSMUSG00000039860	6	1	5	4	8	1	Srrm3
ENSMUSG00000069830	5	12	4	7	14	5	Nlrp1a
ENSMUSG00000028238	6	8	8	0	7	6	Atp6v0d2
ENSMUSG00000033862	732	646	564	465	812	526	Cdk10
ENSMUSG00000033863	1892	1812	927	695	1118	863	Klf9
ENSMUSG00000069835	73	62	81	27	35	48	Sat2
ENSMUSG00000028233	350	415	357	643	1092	354	Tgs1
ENSMUSG00000028232	537	440	313	541	894	374	Tmem68
ENSMUSG00000076926	0	0	0	0	2	0	Traj2
ENSMUSG00000038763	1895	1301	1173	316	715	813	Alpk3
ENSMUSG00000028236	1783	1855	1438	1469	2597	1130	Sdr16c5
ENSMUSG00000028234	17401	11945	14786	10900	16254	13751	Rps20
ENSMUSG00000083270	0	1	0	0	0	0	Gm13498
ENSMUSG00000024925	489	270	377	259	401	377	Rnaseh2c
ENSMUSG00000083277	6	8	15	7	6	3	Gm15376
ENSMUSG00000006007	1	1	2	0	0	0	Pdc
ENSMUSG00000020307	2565	1669	2090	1105	1784	1688	Cdc34
ENSMUSG00000032217	1435	1107	1033	1040	1675	966	Rnf111
ENSMUSG00000045009	34	21	26	22	33	19	Prrt3
ENSMUSG00000044534	215	192	244	138	213	259	Ackr2
ENSMUSG00000066415	1485	1208	1063	916	1545	1034	Msl2
ENSMUSG00000068122	3	3	3	1	1	1	Agtr2
ENSMUSG00000045008	19	16	16	5	7	10	9030612E09Rik
ENSMUSG00000061048	3177	1915	2294	2021	3902	3665	Cdh3
ENSMUSG00000068129	26	24	28	16	23	25	Cst7
ENSMUSG00000020029	4897	3659	2860	3031	4986	3179	Nudt4
ENSMUSG00000087026	18	11	21	22	17	6	A230103J11Rik
ENSMUSG00000078607	101	62	85	36	71	43	1810010H24Rik
ENSMUSG00000049517	14942	10863	11725	10531	15592	11723	Rps23
ENSMUSG00000004947	1471	904	1185	898	1489	1217	Dtx2
ENSMUSG00000004945	1084	693	874	533	783	755	Tmem242
ENSMUSG00000032261	859	1135	899	1243	1757	905	Sh3bgrl2
ENSMUSG00000027405	1187	1951	970	1856	2506	1693	Nop56
ENSMUSG00000089407	2	8	11	6	0	2	Gm24878
ENSMUSG00000020366	820	759	621	527	975	648	Mapk9
ENSMUSG00000027401	14120	7224	4819	5976	9301	5326	Tgm3
ENSMUSG00000103711	23	15	14	38	29	19	Tstd1
ENSMUSG00000020363	503	485	419	228	285	278	Gfpt2
ENSMUSG00000020362	3038	2853	2166	3260	5492	2349	Cnot6
ENSMUSG00000086589	0	4	0	1	0	1	Gm12915
ENSMUSG00000029389	364	476	276	451	621	335	Ddx55
ENSMUSG00000038895	188	182	136	151	206	107	Zfp653
ENSMUSG00000064127	2029	1776	1709	1696	2797	1602	Med14
ENSMUSG00000070448	0	1	0	0	0	0	Vmn2r89
ENSMUSG00000024429	1848	1458	1403	1038	1816	1459	Gnl1
ENSMUSG00000119538	0	0	0	1	0	1	Gm24142
ENSMUSG00000018209	1367	1626	1066	1776	2917	1418	Stk4
ENSMUSG00000046985	1361	1424	887	1236	1742	999	Tapt1
ENSMUSG00000022792	359	291	247	232	400	281	Yars2
ENSMUSG00000026200	196	189	133	135	199	88	Glb1l
ENSMUSG00000044288	13	5	11	11	20	7	Cnr1
ENSMUSG00000054537	323	383	359	893	998	194	Tmprss11e
ENSMUSG00000107418	1	0	0	0	0	0	Gm4782
ENSMUSG00000044860	5	5	4	13	9	8	Gm1123
ENSMUSG00000041534	0	1	0	0	0	0	Rbp3
ENSMUSG00000000244	62	65	60	31	51	53	Tspan32
ENSMUSG00000044286	1	0	0	0	0	0	Olfr221
ENSMUSG00000045004	6	3	9	1	2	7	Spata21
ENSMUSG00000054074	108	82	88	58	108	68	Skida1
ENSMUSG00000054072	67	79	63	100	525	115	Iigp1
ENSMUSG00000045007	135	90	81	78	94	54	Tubg2
ENSMUSG00000001270	2054	1503	2023	797	1771	1415	Ckb
ENSMUSG00000032551	280	261	233	243	354	226	1110059G10Rik
ENSMUSG00000058625	8	6	6	8	10	10	Gm17383
ENSMUSG00000010392	1211	1044	888	884	1379	1004	Gosr1
ENSMUSG00000006958	149	157	114	71	104	94	Chrd
ENSMUSG00000041530	3333	2855	2495	2367	3849	2637	Ago1
ENSMUSG00000082057	14	20	24	19	5	11	Gm15789
ENSMUSG00000034401	256	225	215	169	232	190	Spata6
ENSMUSG00000092021	2	2	2	5	3	1	Gbp11
ENSMUSG00000082054	1	0	2	0	0	1	Psmb6-ps
ENSMUSG00000082051	5	7	7	9	2	1	Gm16072
ENSMUSG00000092239	4	1	4	3	3	2	1700031A10Rik
ENSMUSG00000096225	121	101	94	30	75	52	Lhx8
ENSMUSG00000048285	4268	3721	3262	2486	4636	3488	Frmd6
ENSMUSG00000037601	553	359	425	414	552	558	Nme1
ENSMUSG00000048280	165	206	160	191	369	90	Zfp738
ENSMUSG00000048281	0	7	5	0	6	10	Dleu7
ENSMUSG00000058568	1	0	0	0	0	0	Defb50
